lab_method_name,lab_csv_header,Element,ExtractionMethod,MeasurementMethod,lab_Unit_of_Measurement_Default,ValueUnits,UCUM_ValueUnits,AlternativeUnits,Modus_Soil_Test,lab_name
PSNT (Pre-Sidedress Nitrogen Test),,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Total N,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
total P,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Solvita soil health,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Modified Morgan extraction,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
water extraction,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
dissolved phosphorus,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
saturated paste,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Particle Size Analysis,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Saturated Paste Extract (salinity),,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Soybean Cyst Nematode,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Late Spring/Pre-Sidedress Nitrate Testing – option to add ammonia,,,,,,,,,,"BI labs, AgroLab, Inc. - Harrington, DE, Cornell Soil Health Lab, Ag Test LLC - Kittitas, WA, AGQ Labs USA - Oxnard, CA, A.V. Labs, Inc. - Othello, WA, Logan Labs, A&L Great Lakes Laboratory - Wisconsin, AgSource - Harris, Lincoln, NE, Agri-Labs, Inc. - Auburn, IN, A&L Great Lakes Laboratory - Fort Wayne, IN, Ward Labs, MSU - Rabin's Methods, AgLab Express - Sioux Falls, SD"
Soil Nitrate (PSNT),,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Soil Ammonium,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Soluble Salts,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Sodium,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Neutralization Potential,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Pyritic Sulfur,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Potential Acidity,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Net Neutralization Potential,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Saturated Paste Extract,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Resistivity,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Sulfate,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Chloride,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Sand Classification,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
%Sand,,Sand,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-SAND-SED.10,"A&L Great Lakes Laboratory - Fort Wayne, IN"
%Silt,,Silt,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-SILT-SED.10,"A&L Great Lakes Laboratory - Fort Wayne, IN"
%Clay,,Clay,Sedimentation,Hydrometer Method,,%,%,"%, g/kg",S-CLAY-SED.10,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Textural Classification,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Particle Size Analysis,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Strong Bray Phosphorus,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Sodium Bicarbonate Phosphorus,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Iron,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Copper,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Sulfur,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Boron,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Manganese,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Organic Matter,,Organic Matter,Dumas,Combustion Analyzer,,%,%,%,S-OM-DUMAS.16,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Available Phosphorus,,Phosphorus,Bicarbonate (Olsen),Spectrophotometric,,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-P-BIC.01.03,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Exchangeable Potassium,,Exchangeable Potassium Percentage,1.0 M KCl,Calculated,,%,%,%,S-EKP.19,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Magnesium,,Magnesium,Saturated Paste,ICP,,meq/L,meq/L,"meq/L, ppm, mg/L, lb/ac, kg/ha",S-MG-SP.05,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Calcium,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Buffer pH,,Buffer pH,SMP,H+ ISE,,none,,none,S-BPH-SMPB.02,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Cation Exchange Capacity,,Cation Exchange Capacity,Displacement - Potassium,"""ICP-AES, AAS""",,cmol/kg,cmol/kg,"cmol/kg, meq/100 g",S-CEC-K.05,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Percent Base Saturation of Cation Elements,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Zinc,,,,,,,,,,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Soil pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,"A&L Great Lakes Laboratory - Fort Wayne, IN"
Organic Matter,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Soil pH,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Buffer pH,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Phosphorus,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Potassium,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Calcium,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Magnesium,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Cation Exchange Capacity,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Percent Base Saturation of Cation Elements,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Iron,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Copper,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Sulfur,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Boron ,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Manganese,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Zinc,,,,,,,,,,A&L Great Lakes Laboratory - Wisconsin
Lime Presence,EX__LIME,Lime Recommendation,SMP,Calculated,none,none,[ston_av]/[acr_us],"tons/ac, kg/ha",S-LR-SMP,"A&L Western Agricultural Labs - Modesto, CA"
NH4-N,NH4,Ammonium-Nitrogen,,,ppm,ppm,[ppm],,,"A&L Western Agricultural Labs - Modesto, CA"
Ca,CA,Calcium,Ammonium Acetate,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
% Soil Moisture,,Moisture,,,%,%,%,,,"A&L Western Agricultural Labs - Modesto, CA"
SAR,SAR,Sodium Adsorption Ratio,,,none,none,,,,"A&L Western Agricultural Labs - Modesto, CA"
PO4-P (Bray-P1),P1,Phosphorus,Bray P1 (1:10),Spectrophotometric,ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-P-B1-1:10.01.03,"A&L Western Agricultural Labs - Modesto, CA"
PO4-P (Bray-P2),P2,Phosphorus,,,ppm,ppm,[ppm],,,"A&L Western Agricultural Labs - Modesto, CA"
PO4-P (Olsen),HCO3_P,Phosphorus,,,ppm,ppm,[ppm],,,"A&L Western Agricultural Labs - Modesto, CA"
K-AA,K,Potassium,,,ppm,ppm,[ppm],,,"A&L Western Agricultural Labs - Modesto, CA"
Particle Size Analysis - PSA - Sand,,Sand,,,%,%,%,,,"A&L Western Agricultural Labs - Modesto, CA"
Silt Clay - Soil Texture,,Silt+Clay,,,%,%,%,,,"A&L Western Agricultural Labs - Modesto, CA"
Available Water Capacity,,Moisture,,,%,%,%,,,"A&L Western Agricultural Labs - Modesto, CA"
Total N,TN,"""Nitrogen, Total""",,,,,,,,"A&L Western Agricultural Labs - Modesto, CA"
Organic Matter (OM),OM,Organic Matter,Loss-on-Ignition ,Gravimetric,%,%,%,"%, g/kg",S-SOM-LOI.15,"A&L Western Agricultural Labs - Modesto, CA"
Organic Carbon (OC),,Organic Carbon,,,,,,,,"A&L Western Agricultural Labs - Modesto, CA"
%CaCO3,,Calcium Carbonate,,,,,,,,"A&L Western Agricultural Labs - Modesto, CA"
C:N ratio,,C:N Ratio,,,none,none,,,,"A&L Western Agricultural Labs - Modesto, CA"
B,B,Boron,DTPA-Sorbitol,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-B-DTPA-SORB.05,"A&L Western Agricultural Labs - Modesto, CA"
Zn,ZN,Zinc,DTPA-Sorbitol,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-ZN-DTPA-SORB.05,"A&L Western Agricultural Labs - Modesto, CA"
Mn,MN,Manganese,DTPA-Sorbitol,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-MN-DTPA-SORB.05,"A&L Western Agricultural Labs - Modesto, CA"
Molybdenum,MO,Molybdenum,,,,,,,,"A&L Western Agricultural Labs - Modesto, CA"
Chlorine,CL,Chloride,Saturated Paste,Spectrophotometric,ppm,ppm,[ppm],"mg/L, meq/L, ppm, lb/ac, kg/ha",S-CL-SP.01,"A&L Western Agricultural Labs - Modesto, CA"
Fe,FE,Iron,DTPA-Sorbitol,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-FE-DTPA-SORB.05,"A&L Western Agricultural Labs - Modesto, CA"
Cu,CU,Copper,DTPA-Sorbitol,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-CU-DTPA-SORB.05,"A&L Western Agricultural Labs - Modesto, CA"
CEC,CEC,Cation Exchange Capacity,,,%,%,%,,,"A&L Western Agricultural Labs - Modesto, CA"
Extractable Ca,CA,Calcium,Ammonium Acetate,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-CA-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
OM (LOI),OM,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,"A&L Western Agricultural Labs - Modesto, CA"
EC,EC,Electrical Conductivity,,,,,,,,"A&L Western Agricultural Labs - Modesto, CA"
Soil pH,PH,pH,Saturated Paste,H+ ISE,none,none,,"standard units, s.u., none",S-PH-SP.02,"A&L Western Agricultural Labs - Modesto, CA"
K,K,Potassium,Ammonium Acetate,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-K-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
Mg,MG,Magnesium,Ammonium Acetate,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-MG-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
Na,NA,Sodium,Ammonium Acetate,"""ICP, AAS""",ppm,ppm,[ppm],"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",S-NA-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
NO3-N,NO3-N,Nitrate-Nitrogen,1:5 2.0 N KCl ,Cd Red/Spectrophotometric,ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-NO3-1:5.01.01,"A&L Western Agricultural Labs - Modesto, CA"
SO4-S,SO4-S,Sulfur,Ammonium Acetate,ICP,ppm,ppm,[ppm],"mg/kg, ppm, lb/ac, kg/ha",S-S-NH4AC.05,"A&L Western Agricultural Labs - Modesto, CA"
Buffer pH,BUFFER_PH,Buffer pH,Sikora 1 buffer,H+ ISE,none,none,,none,S-BPH-SIK1.02,"A&L Western Agricultural Labs - Modesto, CA"
H,H,Hydrogen,,,meq/100 g,meq/100 g,meq/(100.g),,,"A&L Western Agricultural Labs - Modesto, CA"
PERCENT CATION SATURATION (COMPUTED),SAT_PCT,Saturation Paste %,Balance,Calculated,,%,%,%,S-SP%.19,"A&L Western Agricultural Labs - Modesto, CA"
ENR,ENR,Estimated Nitrogen Release,Saturated Paste,Calculated,lb/ac,lb/ac,[lb_av]/[acr_us],"ppm, lb, lb/ac, kg/ha",S-ENR.19,"A&L Western Agricultural Labs - Modesto, CA"
Exchangeable Sodium Percentage,ESP,Exchangeable Sodium Percentage,1.0 M KCl,Calculated,,%,%,%,S-ESP.19,"A&L Western Agricultural Labs - Modesto, CA"
CO3,CO3,Carbonate,Saturated Paste,Titration,,meq/L,meq/L,"meq/L, mg/L, ppm",S-CO3-SP.12,"A&L Western Agricultural Labs - Modesto, CA"
Aluminum,AL,Aluminum,,,ppm,ppm,[ppm],,,"A&L Western Agricultural Labs - Modesto, CA"
Eff,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Total Copper,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Mo,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Cl,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Total Bases,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Na,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
CEC,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Moisture,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Mn,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Cu,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Fe,,Iron,DTPA,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-FE-DTPA.05,"Ag Test LLC - Kittitas, WA"
Ca,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Mg,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
B,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
SS,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
S,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Zn,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
pH,,pH,1:1 soil:water ,H+ ISE,,standard units,,"standard units, s.u., none",S-PH-1:1.02.07,"Ag Test LLC - Kittitas, WA"
K,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
OM (Organic Matter),,Organic Matter,Loss-on-Ignition ,Gravimetric,,%,%,"%, g/kg",S-SOM-LOI.15,"Ag Test LLC - Kittitas, WA"
NH4-N,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
 P,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
NO3-N,,,,,,,,,,"Ag Test LLC - Kittitas, WA"
Cu - Copper,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Na — Sodium,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
% sand,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
silt,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
clay,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
B — Boron,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Fe — Iron,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
ESP - Exchangeable Sodium Percentage,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Ca — Calcium,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
NO3-N - Nitrate Nitrogen,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
B Sat % - Percent Base Saturation,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Excess Lime,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Texture Class,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Mg — Magnesium,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Mn — Manganese,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
CEC — Cation Exchange Capacity,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Potassium,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Buffer pH,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
S — Sulfur (Sulfate),,,,,,,,,,"AgLab Express - Sioux Falls, SD"
pH,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Zn — Zinc,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Salts — Electrical Conductivity,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
P — Phosphorus,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
OM — Organic Matter,,,,,,,,,,"AgLab Express - Sioux Falls, SD"
Iron (DTPA),,Iron,DTPA,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-FE-DTPA.05,"AGQ Labs USA - Oxnard, CA"
Manganese (DTPA),,Manganese,DTPA,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-MN-DTPA.05,"AGQ Labs USA - Oxnard, CA"
Zinc (DTPA),,Zinc,DTPA,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-ZN-DTPA.05,"AGQ Labs USA - Oxnard, CA"
Copper (DTPA),,Copper,DTPA,"""ICP, AAS""",,mg/kg,mg/kg,"mg/kg, ppm, lb/ac, kg/ha",S-CU-DTPA.05,"AGQ Labs USA - Oxnard, CA"
Boron,,,,,,,,,,"AGQ Labs USA - Oxnard, CA"
Texture Classification,,,,,,,,,,"AGQ Labs USA - Oxnard, CA"
